apt-type,city,address,rooms,floor,size,price,apt-link
דירה,אבו גוש,השדות 2,3,0,190,,https://www.yad2.co.il/realestate/item/9vl2bjn7?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=36
דירה,אבו גוש,התות 7,4,2,156,100,"https://www.homeless.co.il/rent/viewad,714679.aspx"
דירה,אבו גוש,התות 7,4,2,156,100,"https://www.homeless.co.il/rent/viewad,715500.aspx"
דירה,אבו גוש,התות 7,4,2,150,5500,"https://www.homeless.co.il/rent/viewad,714679.aspx"
דירה,אבו גוש,התות 7,4,2,150,5500,"https://www.homeless.co.il/rent/viewad,715500.aspx"
קראוון,אביטל,הארז,3,0,48,2600,"https://www.homeless.co.il/rent/viewad,710176.aspx"
בית פרטי/ קוטג',אבן יהודה,חוף 8,9,0,340,19500,https://www.yad2.co.il/realestate/item/aiapdl6b?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=7
בית פרטי/ קוטג',אבן יהודה,ותיקים 57,5,0,160,12500,https://www.yad2.co.il/realestate/item/mkz6hll0?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=68
דו משפחתי,אבן יהודה,צורית 40,6,0,284,16200,https://www.yad2.co.il/realestate/item/vx75fvg9?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=80
יחידת דיור,אבן יהודה,צבעוני 5,2,0,65,4500,https://www.yad2.co.il/realestate/item/8627ejf8?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=97
יחידת דיור,אבן יהודה,המעפילים,3,0,40,4000,"https://www.homeless.co.il/rent/viewad,713236.aspx"
בית פרטי/ קוטג',אומן,דרך הגלבוע 116,6,0,500,9600,https://www.yad2.co.il/realestate/item/6dfvc51x?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=23
דו משפחתי,אופקים,הבציר,2.5,0,60,2800,"https://www.homeless.co.il/rent/viewad,710002.aspx"
דירת גן,אור יהודה,כרמל 5,3,2,221,7500,https://www.yad2.co.il/realestate/item/f6jvf0d5?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=15
דירה,אור יהודה,יקותיאל אדם 32,3,1,78,4900,https://www.yad2.co.il/realestate/item/t1jkifjo?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=16
דירה,אור יהודה,כנען 8,5,11,207,8200,https://www.yad2.co.il/realestate/item/zai8pect?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=34
דירה,אור יהודה,כרמל 1,5,5,140,7300,https://www.yad2.co.il/realestate/item/4i6loub2?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=37
דירה,אור יהודה,יחזקאל קזז 16,3,2,75,5650,https://www.yad2.co.il/realestate/item/87rzyzmj?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=52
דופלקס,אור יהודה,צאלון 9,6,3,150,8800,https://www.yad2.co.il/realestate/item/jyro99fn?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=54
דופלקס,אור יהודה,צאלון 9,6,3,150,8800,https://www.yad2.co.il/realestate/item/jyro99fn?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=56
דירה,אור יהודה,אבנר 8,3,3,103,5000,https://www.yad2.co.il/realestate/item/qiwgcix4?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=71
דירה,אור יהודה,יצחק שמיר 3,5,1,155,7600,https://www.yad2.co.il/realestate/item/okv2z5pn?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=86
דירה,אור עקיבא,אילות השדה 7,4,3,104,5800,https://www.yad2.co.il/realestate/item/h8yvrzxm?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=39
דירה,אור עקיבא,מאיר עמית 3,4,9,120,4400,https://www.yad2.co.il/realestate/item/k23b3l4t?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=59
דירה,אור עקיבא,התבור 2,4.5,2,126,5200,https://www.yad2.co.il/realestate/item/o5a0w0x5?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=75
דירה,אור עקיבא,איילות השדה,5,3,130,6300,"https://www.homeless.co.il/rent/viewad,716255.aspx"
יחידת דיור,אורנית,אלכסנדר 4,2,0,54,3300,https://www.yad2.co.il/realestate/item/15zyrpar?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=62
בית פרטי/ קוטג',אורנית,הגפן 10,5,0,600,9300,https://www.yad2.co.il/realestate/item/kjq07w9d?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=98
דירה,אזור,בורוכוב 1,1,1,25,2900,https://www.yad2.co.il/realestate/item/wrxgrolz?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=18
דירה,אזור,דרך בן גוריון 30,3,3,70,4700,https://www.yad2.co.il/realestate/item/i290cd2n?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=73
יחידת דיור,אזור,ירושלים 149,2,1,46,4900,https://www.yad2.co.il/realestate/item/mdvlhouw?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=76
יחידת דיור,אזור,השלום 1,2,0,75,4000,https://www.yad2.co.il/realestate/item/smwwpw31?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=79
יחידת דיור,אזור.,השלום 101 א,2,0,55,3500,"https://www.homeless.co.il/rent/viewad,717541.aspx"
דו משפחתי,אחווה,תמר,3,0,140,7800,"https://www.homeless.co.il/rent/viewad,707469.aspx"
דופלקס,אחיסמך,שבט זבולון 23,5,7,190,7500,"https://www.homeless.co.il/rent/viewad,707659.aspx"
בית פרטי,אילון,דרך נוף לים,4.5,0,135,7000,"https://www.homeless.co.il/rent/viewad,719932.aspx"
בית פרטי/ קוטג',אילניה,אל המעיין 1,6,0,225,7250,https://www.yad2.co.il/realestate/item/z7yqhu2l?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=69
גג/ פנטהאוז,אילת,נחל שחרות 10,4,4,145,8500,https://www.yad2.co.il/realestate/item/mqdyi6dv?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=8
יחידת דיור,אילת,המלך יהושפט 33,1.5,0,35,2800,https://www.yad2.co.il/realestate/item/70oljmk9?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=9
דירה,אילת,עין נטפים 13,5.5,2,159,6400,https://www.yad2.co.il/realestate/item/bnz1avvb?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=9
דירה,אילת,משעול עירית 1,3.5,5,85,4200,https://www.yad2.co.il/realestate/item/cacndadz?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=11
תיירות ונופש,אילת,דרך הערבה 50,2,2,42,6000,https://www.yad2.co.il/realestate/item/v878fqa4?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=14
תיירות ונופש,אילת,האלה 5,2,7,95,,https://www.yad2.co.il/realestate/item/5rtofkiz?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=37
דירת גן,אילת,עין נטפים 4,5.5,0,240,7000,https://www.yad2.co.il/realestate/item/e13kh2x0?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=39
דירה,אילת,שדרות ששת הימים 200,3,4,70,3800,https://www.yad2.co.il/realestate/item/pkkpeugv?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=45
תיירות ונופש,אילת,ברנע 428,1,0,25,250,https://www.yad2.co.il/realestate/item/w1xv0r9v?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=51
תיירות ונופש,אילת,דרך הערבה 5,2,2,42,6500,https://www.yad2.co.il/realestate/item/23lwfla9?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=58
תיירות ונופש,אילת,דרך הערבה 1,2,0,50,6800,https://www.yad2.co.il/realestate/item/tasrcnal?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=81
תיירות ונופש,אילת,דרך הערבה 1,2,1,30,6800,https://www.yad2.co.il/realestate/item/e2i7ebu8?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=81
יחידת דיור,אילת,אזורית 2,1,4,45,2900,https://www.yad2.co.il/realestate/item/3g5uuab8?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=86
דירה,אילת,ברנע 434,3,2,65,3800,https://www.yad2.co.il/realestate/item/wztmrln4?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=86
דירה,אילת,משעול הכנענים,4,4,104,5300,"https://www.homeless.co.il/rent/viewad,719990.aspx"
דירה,אילת,משעול הכנענים,4,4,104,5300,"https://www.homeless.co.il/rent/viewad,720075.aspx"
דירה,אילת,משעול הכנענים,4,4,104,5300,"https://www.homeless.co.il/rent/viewad,717262.aspx"
דירה,אילת,הר שלמה 2,3.5,3,1,,"https://www.homeless.co.il/rent/viewad,715656.aspx"
דירה,אילת,משעול הכנענים,4,1,100,5100,"https://www.homeless.co.il/rent/viewad,719990.aspx"
דירה,אילת,משעול הכנענים,4,1,100,5100,"https://www.homeless.co.il/rent/viewad,720075.aspx"
דירה,אילת,משעול הכנענים,4,1,100,5100,"https://www.homeless.co.il/rent/viewad,717262.aspx"
דירה,אילת,רחוב רודד,4.5,6,110,5000,"https://www.homeless.co.il/rent/viewad,712705.aspx"
דירה,אילת,שחורת,3,3,60,3500,"https://www.homeless.co.il/rent/viewad,702466.aspx"
דירה,אילת,סיני 4,3,2,65,3700,"https://www.homeless.co.il/rent/viewad,714204.aspx"
דירה,אילת,משעול הכנענים,3,4,82,4580,"https://www.homeless.co.il/rent/viewad,719990.aspx"
דירה,אילת,משעול הכנענים,3,4,82,4580,"https://www.homeless.co.il/rent/viewad,720075.aspx"
דירה,אילת,משעול הכנענים,3,4,82,4580,"https://www.homeless.co.il/rent/viewad,717262.aspx"
דירה,אילת,לופית,3,3,80,4000,"https://www.homeless.co.il/rent/viewad,709578.aspx"
יחידת דיור,אילת,סיני,2,3,40,2600,"https://www.homeless.co.il/rent/viewad,714292.aspx"
יחידת דיור,אילת,אשליל,1,2,30,2300,"https://www.homeless.co.il/rent/viewad,714405.aspx"
קוטג,אילת,משעול הגלעדיים,6,0,180,10000,"https://www.homeless.co.il/rent/viewad,716507.aspx"
בית פרטי,איתן,ראשי,6.5,0,200,12000,"https://www.homeless.co.il/rent/viewad,716596.aspx"
בית פרטי,אלייכין,כנפי נשרים,3,0,105,5500,"https://www.homeless.co.il/rent/viewad,719994.aspx"
חניה,אליכין,ילקוט הרועים 3,1,0,17,420,"https://www.homeless.co.il/rent/viewad,719966.aspx"
בית פרטי/ קוטג',אלמגור,אלמגור,4,0,1064,3300,https://www.yad2.co.il/realestate/item/52bkn61u?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=63
וילה,אניעם,השיזף,6,0,192,7000,"https://www.homeless.co.il/rent/viewad,718930.aspx"
תיירות ונופש,אפרת,הדבש 4,5,0,235,13500,https://www.yad2.co.il/realestate/item/wuf802hr?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=81
דירה,אריאל,הערבה 57,5,2,122,5100,https://www.yad2.co.il/realestate/item/ic96d5v6?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=2
יחידת דיור,אריאל,משעול הזית 3,2.5,1,65,2800,https://www.yad2.co.il/realestate/item/zjo76pbt?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=3
דירה,אריאל,נווה שאנן 16,6,4,172,1400,https://www.yad2.co.il/realestate/item/e9dndadx?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=4
יחידת דיור,אריאל,גדעון 5,2,0,45,3200,https://www.yad2.co.il/realestate/item/m0softp5?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=28
דירה,אריאל,דרך אפרתה 12,4,3,90,3750,https://www.yad2.co.il/realestate/item/mxkxj9qz?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=52
יחידת דיור,אריאל,הפסגה 32,3,0,90,3200,https://www.yad2.co.il/realestate/item/vppzm13b?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=58
דירת גן,אריאל,התבור 1,4.5,0,170,5700,https://www.yad2.co.il/realestate/item/ok51do0g?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=74
דירה,אריאל,מוריה 22,4,0,117,4800,https://www.yad2.co.il/realestate/item/i738ocvk?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=75
דירה,אריאל,עיר היונה 9,5,1,138,5500,https://www.yad2.co.il/realestate/item/z6xhtbwx?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=76
דירת גן,אריאל,הקוממיות 5,3,1,170,4000,https://www.yad2.co.il/realestate/item/65qy32jc?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=99
דירה,אריאל,נווה שאנן,2,0,50,3200,"https://www.homeless.co.il/rent/viewad,713938.aspx"
דירה,אריאל,הסביונים,3,3,75,2900,"https://www.homeless.co.il/rent/viewad,713745.aspx"
דירה,אשדוד,הדקל 5,5,17,166,8600,https://www.yad2.co.il/realestate/item/f3692btv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=17
דירה,אשדוד,יוספטל 5,3,4,60,3000,https://www.yad2.co.il/realestate/item/by6jvmee?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=27
דירה,אשדוד,"אח""י אילת 13",3,4,60,3500,https://www.yad2.co.il/realestate/item/9pg3shhv?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=28
דירה,אשדוד,רוגוזין 25,4.5,2,130,4800,https://www.yad2.co.il/realestate/item/08fgjdb5?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=42
דירה,אשדוד,גיא אוני 12,3,4,95,4400,https://www.yad2.co.il/realestate/item/fxkh8qmy?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=42
דירה,אשדוד,"שדרות האדמו""ר מפיטסבורג 41",3,7,120,3500,https://www.yad2.co.il/realestate/item/svutnaad?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=55
יחידת דיור,אשדוד,לאה גולדברג 27,1.5,0,40,3000,https://www.yad2.co.il/realestate/item/i1hzl5cl?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=56
דירה,אשדוד,ז'בוטינסקי 4,3,4,65,3300,https://www.yad2.co.il/realestate/item/hzthb6n5?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=60
יחידת דיור,אשדוד,ישראל גלעדי 1,2,0,45,3990,https://www.yad2.co.il/realestate/item/xd6a85g8?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=64
דירה,אשדוד,אברהם שפירא 23,3,1,76,4500,https://www.yad2.co.il/realestate/item/i8chyqn5?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=65
יחידת דיור,אשדוד,דקר 20,2,1,50,3800,https://www.yad2.co.il/realestate/item/eg8c811b?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=70
דירה,אשדוד,חסן בן גרא 4,3,0,60,3950,https://www.yad2.co.il/realestate/item/qgraytac?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=80
