apt-type,city,address,rooms,floor,size,price,apt-link,attributes
דו משפחתי,הוד השרון,יהונתן 8,2.5,קרקע,300,6300,https://www.yad2.co.il/realestate/item/fs6ya4yf?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=1,"3 כיווני אוויר, נוף פתוח לפארק, בהזדמנות"
דירה,תל אביב יפו,רמה 8,4,2,112,8700,https://www.yad2.co.il/realestate/item/luiqgt5w?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=1,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,ירושלים,הרדוף 12,3,2,62,5250,https://www.yad2.co.il/realestate/item/xd6tfbgg?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=1,"נוף פתוח לפארק, מטבח גדול, קרוב לפארק"
דירה,חיפה,המלך שלמה 45,4,1,80,4700,https://www.yad2.co.il/realestate/item/q8rsaq3u?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1,"3 כיווני אוויר, נוף פתוח לים, נכס עורפי"
דירה,באר יעקב,אפרים קישון 1,4,2,105,6800,https://www.yad2.co.il/realestate/item/ag80bsou?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1,"2 מרפסות, ממ""ד, חניה"
דירה,נהריה,חניתה 3,4,3,85,3500,https://www.yad2.co.il/realestate/item/ufss9b9u?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1,"נוף פתוח לים, חניה, מטבח גדול"
דירה,נתניה,הרצל 29,2,3,29,2700,https://www.yad2.co.il/realestate/item/axb7xkon?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1,"קרוב לים, חבל לפספס, בהזדמנות"
מרתף/ פרטר,קדימה צורן,עפרוני 5,2,קרקע,75,4200,https://www.yad2.co.il/realestate/item/dt4qtv82?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1,"נכס חדש, חבל לפספס, בהזדמנות"
גג/ פנטהאוז,פתח תקווה,חפץ חיים 66,4.5,4,200,7700,https://www.yad2.co.il/realestate/item/3rxfwcr0?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1,"3 חדרי מקלחת, 3 כיווני אוויר, חניה"
יחידת דיור,להבים,סבכי 38,3,2,85,4400,https://www.yad2.co.il/realestate/item/49z3zr6d?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1,"ממ""ד, 4 כיווני אוויר, נוף פתוח לפארק"
דופלקס,תל אביב יפו,שמעון התרסי 25,4,3,170,16500,https://www.yad2.co.il/realestate/item/hse59kjg?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1,"נוף פתוח לעיר, חניה, קרוב לפארק"
דירה,תל אביב יפו,יהודה הימית 2,1,1,22,2290,https://www.yad2.co.il/realestate/item/ksj7ih7b?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,רב אשי 3,4,6,120,13000,https://www.yad2.co.il/realestate/item/enxn86iw?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1,"3 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,נתניה,משה איכילוב 5,3,3,65,3800,https://www.yad2.co.il/realestate/item/cdmyoizu?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=2,"2 מרפסות, קרוב לים, בהזדמנות"
דירה,חיפה,דרך אריק שרון 13,6,3,172,8900,https://www.yad2.co.il/realestate/item/f5j886qs?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=2,"3 חדרי מקלחת, ממ""ד, חניה"
